R,G,B
78.00999999999999,27.00999999999999,-17.989999999999995
77.00999999999999,26.00999999999999,-18.989999999999995
77.00999999999999,26.00999999999999,-18.989999999999995
77.00999999999999,26.00999999999999,-18.989999999999995
78.00999999999999,27.00999999999999,-17.989999999999995
80.00999999999999,29.00999999999999,-14.989999999999995
80.00999999999999,29.00999999999999,-14.989999999999995
80.00999999999999,29.00999999999999,-14.989999999999995
80.00999999999999,29.00999999999999,-14.989999999999995
80.00999999999999,29.00999999999999,-14.989999999999995
81.00999999999999,30.00999999999999,-13.989999999999995
81.00999999999999,30.00999999999999,-13.989999999999995
81.00999999999999,30.00999999999999,-13.989999999999995
81.00999999999999,30.00999999999999,-13.989999999999995
81.00999999999999,30.00999999999999,-13.989999999999995
82.00999999999999,31.00999999999999,-12.989999999999995
83.00999999999999,32.00999999999999,-11.989999999999995
83.00999999999999,32.00999999999999,-11.989999999999995
83.00999999999999,32.00999999999999,-11.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
85.00999999999999,34.00999999999999,-9.989999999999995
85.00999999999999,34.00999999999999,-9.989999999999995
85.00999999999999,34.00999999999999,-9.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
83.00999999999999,32.00999999999999,-11.989999999999995
83.00999999999999,32.00999999999999,-11.989999999999995
83.00999999999999,32.00999999999999,-11.989999999999995
83.00999999999999,32.00999999999999,-11.989999999999995
83.00999999999999,32.00999999999999,-11.989999999999995
82.00999999999999,31.00999999999999,-12.989999999999995
83.00999999999999,32.00999999999999,-11.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
83.00999999999999,32.00999999999999,-11.989999999999995
83.00999999999999,32.00999999999999,-11.989999999999995
82.00999999999999,31.00999999999999,-12.989999999999995
83.00999999999999,32.00999999999999,-11.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
82.00999999999999,31.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
83.00999999999999,35.00999999999999,-10.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
83.00999999999999,35.00999999999999,-10.989999999999995
83.00999999999999,35.00999999999999,-10.989999999999995
84.00999999999999,36.00999999999999,-9.989999999999995
84.00999999999999,36.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
82.00999999999999,35.00999999999999,-8.989999999999995
82.00999999999999,35.00999999999999,-8.989999999999995
83.00999999999999,36.00999999999999,-7.989999999999995
83.00999999999999,36.00999999999999,-7.989999999999995
83.00999999999999,36.00999999999999,-7.989999999999995
83.00999999999999,36.00999999999999,-7.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
82.00999999999999,33.00999999999999,-10.989999999999995
82.00999999999999,33.00999999999999,-10.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
82.00999999999999,33.00999999999999,-10.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
82.00999999999999,33.00999999999999,-10.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,35.00999999999999,-10.989999999999995
83.00999999999999,35.00999999999999,-10.989999999999995
83.00999999999999,35.00999999999999,-10.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
83.00999999999999,35.00999999999999,-10.989999999999995
83.00999999999999,35.00999999999999,-10.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
82.00999999999999,33.00999999999999,-10.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
81.00999999999999,32.00999999999999,-11.989999999999995
80.00999999999999,31.00999999999999,-12.989999999999995
80.00999999999999,31.00999999999999,-12.989999999999995
80.00999999999999,31.00999999999999,-12.989999999999995
80.00999999999999,31.00999999999999,-12.989999999999995
80.00999999999999,31.00999999999999,-12.989999999999995
80.00999999999999,31.00999999999999,-12.989999999999995
81.00999999999999,32.00999999999999,-11.989999999999995
81.00999999999999,32.00999999999999,-11.989999999999995
82.00999999999999,33.00999999999999,-10.989999999999995
82.00999999999999,33.00999999999999,-10.989999999999995
82.00999999999999,33.00999999999999,-10.989999999999995
82.00999999999999,33.00999999999999,-10.989999999999995
82.00999999999999,33.00999999999999,-10.989999999999995
82.00999999999999,33.00999999999999,-10.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
80.00999999999999,32.00999999999999,-13.989999999999995
79.00999999999999,31.00999999999999,-14.989999999999995
80.00999999999999,32.00999999999999,-13.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
83.00999999999999,35.00999999999999,-10.989999999999995
83.00999999999999,35.00999999999999,-10.989999999999995
83.00999999999999,35.00999999999999,-10.989999999999995
83.00999999999999,35.00999999999999,-10.989999999999995
83.00999999999999,35.00999999999999,-10.989999999999995
84.00999999999999,36.00999999999999,-9.989999999999995
84.00999999999999,36.00999999999999,-9.989999999999995
84.00999999999999,36.00999999999999,-9.989999999999995
85.00999999999999,37.00999999999999,-8.989999999999995
85.00999999999999,37.00999999999999,-8.989999999999995
85.00999999999999,37.00999999999999,-8.989999999999995
85.00999999999999,37.00999999999999,-8.989999999999995
85.00999999999999,37.00999999999999,-8.989999999999995
85.00999999999999,37.00999999999999,-8.989999999999995
85.00999999999999,37.00999999999999,-8.989999999999995
85.00999999999999,37.00999999999999,-8.989999999999995
85.00999999999999,37.00999999999999,-8.989999999999995
85.00999999999999,37.00999999999999,-8.989999999999995
85.00999999999999,37.00999999999999,-8.989999999999995
85.00999999999999,37.00999999999999,-8.989999999999995
85.00999999999999,37.00999999999999,-8.989999999999995
83.00999999999999,35.00999999999999,-10.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
84.00999999999999,33.00999999999999,-11.989999999999995
84.00999999999999,33.00999999999999,-11.989999999999995
84.00999999999999,33.00999999999999,-11.989999999999995
84.00999999999999,33.00999999999999,-11.989999999999995
84.00999999999999,33.00999999999999,-11.989999999999995
84.00999999999999,33.00999999999999,-11.989999999999995
84.00999999999999,33.00999999999999,-11.989999999999995
84.00999999999999,33.00999999999999,-11.989999999999995
83.00999999999999,32.00999999999999,-12.989999999999995
82.00999999999999,31.00999999999999,-13.989999999999995
83.00999999999999,32.00999999999999,-12.989999999999995
83.00999999999999,32.00999999999999,-12.989999999999995
83.00999999999999,32.00999999999999,-12.989999999999995
82.00999999999999,31.00999999999999,-13.989999999999995
80.00999999999999,30.00999999999999,-17.989999999999995
79.00999999999999,29.00999999999999,-18.989999999999995
79.00999999999999,29.00999999999999,-18.989999999999995
80.00999999999999,30.00999999999999,-17.989999999999995
80.00999999999999,30.00999999999999,-17.989999999999995
79.00999999999999,29.00999999999999,-18.989999999999995
79.00999999999999,29.00999999999999,-18.989999999999995
79.00999999999999,29.00999999999999,-18.989999999999995
76.00999999999999,28.00999999999999,-19.989999999999995
76.00999999999999,28.00999999999999,-19.989999999999995
76.00999999999999,28.00999999999999,-19.989999999999995
76.00999999999999,28.00999999999999,-19.989999999999995
76.00999999999999,28.00999999999999,-19.989999999999995
76.00999999999999,28.00999999999999,-19.989999999999995
76.00999999999999,28.00999999999999,-19.989999999999995
76.00999999999999,28.00999999999999,-19.989999999999995
76.00999999999999,28.00999999999999,-19.989999999999995
75.00999999999999,27.00999999999999,-20.989999999999995
74.00999999999999,26.00999999999999,-21.989999999999995
74.00999999999999,26.00999999999999,-21.989999999999995
75.00999999999999,27.00999999999999,-20.989999999999995
75.00999999999999,27.00999999999999,-20.989999999999995
74.00999999999999,26.00999999999999,-21.989999999999995
73.00999999999999,25.00999999999999,-22.989999999999995
74.00999999999999,24.00999999999999,-23.989999999999995
73.00999999999999,23.00999999999999,-24.989999999999995
77.00999999999999,26.00999999999999,-17.989999999999995
77.00999999999999,26.00999999999999,-17.989999999999995
77.00999999999999,26.00999999999999,-17.989999999999995
77.00999999999999,26.00999999999999,-17.989999999999995
78.00999999999999,27.00999999999999,-16.989999999999995
78.00999999999999,27.00999999999999,-16.989999999999995
78.00999999999999,27.00999999999999,-16.989999999999995
77.00999999999999,26.00999999999999,-17.989999999999995
77.00999999999999,26.00999999999999,-17.989999999999995
77.00999999999999,26.00999999999999,-17.989999999999995
77.00999999999999,26.00999999999999,-17.989999999999995
77.00999999999999,26.00999999999999,-17.989999999999995
78.00999999999999,27.00999999999999,-17.989999999999995
78.00999999999999,27.00999999999999,-17.989999999999995
78.00999999999999,27.00999999999999,-17.989999999999995
78.00999999999999,27.00999999999999,-17.989999999999995
78.00999999999999,27.00999999999999,-17.989999999999995
78.00999999999999,27.00999999999999,-17.989999999999995
78.00999999999999,27.00999999999999,-17.989999999999995
77.00999999999999,26.00999999999999,-18.989999999999995
77.00999999999999,26.00999999999999,-18.989999999999995
77.00999999999999,26.00999999999999,-18.989999999999995
77.00999999999999,26.00999999999999,-18.989999999999995
78.00999999999999,27.00999999999999,-17.989999999999995
80.00999999999999,29.00999999999999,-14.989999999999995
80.00999999999999,29.00999999999999,-14.989999999999995
80.00999999999999,29.00999999999999,-14.989999999999995
80.00999999999999,29.00999999999999,-14.989999999999995
81.00999999999999,30.00999999999999,-13.989999999999995
81.00999999999999,30.00999999999999,-13.989999999999995
81.00999999999999,30.00999999999999,-13.989999999999995
81.00999999999999,30.00999999999999,-13.989999999999995
81.00999999999999,30.00999999999999,-13.989999999999995
81.00999999999999,30.00999999999999,-13.989999999999995
82.00999999999999,31.00999999999999,-12.989999999999995
83.00999999999999,32.00999999999999,-11.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
85.00999999999999,34.00999999999999,-9.989999999999995
86.00999999999999,35.00999999999999,-8.989999999999995
85.00999999999999,34.00999999999999,-9.989999999999995
85.00999999999999,34.00999999999999,-9.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
83.00999999999999,32.00999999999999,-11.989999999999995
83.00999999999999,32.00999999999999,-11.989999999999995
83.00999999999999,32.00999999999999,-11.989999999999995
83.00999999999999,32.00999999999999,-11.989999999999995
82.00999999999999,31.00999999999999,-12.989999999999995
83.00999999999999,32.00999999999999,-11.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
83.00999999999999,32.00999999999999,-11.989999999999995
83.00999999999999,32.00999999999999,-11.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
85.00999999999999,34.00999999999999,-9.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
83.00999999999999,32.00999999999999,-11.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
80.00999999999999,32.00999999999999,-13.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
83.00999999999999,35.00999999999999,-10.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
83.00999999999999,35.00999999999999,-10.989999999999995
83.00999999999999,35.00999999999999,-10.989999999999995
83.00999999999999,35.00999999999999,-10.989999999999995
84.00999999999999,36.00999999999999,-9.989999999999995
84.00999999999999,36.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
82.00999999999999,35.00999999999999,-8.989999999999995
82.00999999999999,35.00999999999999,-8.989999999999995
83.00999999999999,36.00999999999999,-7.989999999999995
83.00999999999999,36.00999999999999,-7.989999999999995
83.00999999999999,36.00999999999999,-7.989999999999995
83.00999999999999,36.00999999999999,-7.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
82.00999999999999,33.00999999999999,-10.989999999999995
82.00999999999999,33.00999999999999,-10.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
82.00999999999999,33.00999999999999,-10.989999999999995
82.00999999999999,33.00999999999999,-10.989999999999995
82.00999999999999,33.00999999999999,-10.989999999999995
82.00999999999999,33.00999999999999,-10.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
84.00999999999999,35.00999999999999,-8.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
81.00999999999999,32.00999999999999,-11.989999999999995
81.00999999999999,32.00999999999999,-11.989999999999995
82.00999999999999,33.00999999999999,-10.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
82.00999999999999,33.00999999999999,-10.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
83.00999999999999,34.00999999999999,-9.989999999999995
82.00999999999999,33.00999999999999,-10.989999999999995
81.00999999999999,32.00999999999999,-11.989999999999995
81.00999999999999,32.00999999999999,-11.989999999999995
80.00999999999999,31.00999999999999,-12.989999999999995
80.00999999999999,31.00999999999999,-12.989999999999995
80.00999999999999,31.00999999999999,-12.989999999999995
81.00999999999999,32.00999999999999,-11.989999999999995
81.00999999999999,32.00999999999999,-11.989999999999995
81.00999999999999,32.00999999999999,-11.989999999999995
81.00999999999999,32.00999999999999,-11.989999999999995
81.00999999999999,32.00999999999999,-11.989999999999995
81.00999999999999,32.00999999999999,-11.989999999999995
81.00999999999999,32.00999999999999,-11.989999999999995
81.00999999999999,32.00999999999999,-11.989999999999995
81.00999999999999,32.00999999999999,-11.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
80.00999999999999,32.00999999999999,-13.989999999999995
79.00999999999999,31.00999999999999,-14.989999999999995
80.00999999999999,32.00999999999999,-13.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
83.00999999999999,35.00999999999999,-10.989999999999995
83.00999999999999,35.00999999999999,-10.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
83.00999999999999,35.00999999999999,-10.989999999999995
84.00999999999999,36.00999999999999,-9.989999999999995
84.00999999999999,36.00999999999999,-9.989999999999995
84.00999999999999,36.00999999999999,-9.989999999999995
84.00999999999999,36.00999999999999,-9.989999999999995
84.00999999999999,36.00999999999999,-9.989999999999995
84.00999999999999,36.00999999999999,-9.989999999999995
84.00999999999999,36.00999999999999,-9.989999999999995
84.00999999999999,36.00999999999999,-9.989999999999995
84.00999999999999,36.00999999999999,-9.989999999999995
84.00999999999999,36.00999999999999,-9.989999999999995
84.00999999999999,36.00999999999999,-9.989999999999995
84.00999999999999,36.00999999999999,-9.989999999999995
84.00999999999999,36.00999999999999,-9.989999999999995
84.00999999999999,36.00999999999999,-9.989999999999995
84.00999999999999,36.00999999999999,-9.989999999999995
85.00999999999999,37.00999999999999,-8.989999999999995
83.00999999999999,35.00999999999999,-10.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
84.00999999999999,33.00999999999999,-11.989999999999995
84.00999999999999,33.00999999999999,-11.989999999999995
84.00999999999999,33.00999999999999,-11.989999999999995
84.00999999999999,33.00999999999999,-11.989999999999995
84.00999999999999,33.00999999999999,-11.989999999999995
84.00999999999999,33.00999999999999,-11.989999999999995
85.00999999999999,34.00999999999999,-10.989999999999995
84.00999999999999,33.00999999999999,-11.989999999999995
83.00999999999999,32.00999999999999,-12.989999999999995
82.00999999999999,31.00999999999999,-13.989999999999995
83.00999999999999,32.00999999999999,-12.989999999999995
84.00999999999999,33.00999999999999,-11.989999999999995
84.00999999999999,33.00999999999999,-11.989999999999995
83.00999999999999,32.00999999999999,-12.989999999999995
80.00999999999999,30.00999999999999,-17.989999999999995
79.00999999999999,29.00999999999999,-18.989999999999995
79.00999999999999,29.00999999999999,-18.989999999999995
80.00999999999999,30.00999999999999,-17.989999999999995
80.00999999999999,30.00999999999999,-17.989999999999995
80.00999999999999,30.00999999999999,-17.989999999999995
79.00999999999999,29.00999999999999,-18.989999999999995
79.00999999999999,29.00999999999999,-18.989999999999995
76.00999999999999,28.00999999999999,-19.989999999999995
76.00999999999999,28.00999999999999,-19.989999999999995
76.00999999999999,28.00999999999999,-19.989999999999995
76.00999999999999,28.00999999999999,-19.989999999999995
76.00999999999999,28.00999999999999,-19.989999999999995
75.00999999999999,27.00999999999999,-20.989999999999995
75.00999999999999,27.00999999999999,-20.989999999999995
75.00999999999999,27.00999999999999,-20.989999999999995
75.00999999999999,27.00999999999999,-20.989999999999995
75.00999999999999,27.00999999999999,-20.989999999999995
75.00999999999999,27.00999999999999,-20.989999999999995
75.00999999999999,27.00999999999999,-20.989999999999995
74.00999999999999,26.00999999999999,-21.989999999999995
74.00999999999999,26.00999999999999,-21.989999999999995
74.00999999999999,26.00999999999999,-21.989999999999995
73.00999999999999,25.00999999999999,-22.989999999999995
73.00999999999999,23.00999999999999,-24.989999999999995
73.00999999999999,23.00999999999999,-24.989999999999995
78.00999999999999,27.00999999999999,-16.989999999999995
77.00999999999999,26.00999999999999,-17.989999999999995
78.00999999999999,27.00999999999999,-16.989999999999995
78.00999999999999,27.00999999999999,-16.989999999999995
78.00999999999999,27.00999999999999,-16.989999999999995
78.00999999999999,27.00999999999999,-16.989999999999995
78.00999999999999,27.00999999999999,-16.989999999999995
77.00999999999999,26.00999999999999,-17.989999999999995
77.00999999999999,26.00999999999999,-17.989999999999995
77.00999999999999,26.00999999999999,-17.989999999999995
76.00999999999999,25.00999999999999,-18.989999999999995
77.00999999999999,26.00999999999999,-17.989999999999995
77.00999999999999,26.00999999999999,-18.989999999999995
77.00999999999999,26.00999999999999,-18.989999999999995
77.00999999999999,26.00999999999999,-18.989999999999995
77.00999999999999,26.00999999999999,-18.989999999999995
78.00999999999999,27.00999999999999,-17.989999999999995
78.00999999999999,27.00999999999999,-17.989999999999995
78.00999999999999,27.00999999999999,-17.989999999999995
77.00999999999999,26.00999999999999,-18.989999999999995
77.00999999999999,26.00999999999999,-18.989999999999995
77.00999999999999,26.00999999999999,-18.989999999999995
78.00999999999999,27.00999999999999,-17.989999999999995
79.00999999999999,28.00999999999999,-16.989999999999995
81.00999999999999,30.00999999999999,-13.989999999999995
81.00999999999999,30.00999999999999,-13.989999999999995
81.00999999999999,30.00999999999999,-13.989999999999995
81.00999999999999,30.00999999999999,-13.989999999999995
81.00999999999999,30.00999999999999,-13.989999999999995
81.00999999999999,30.00999999999999,-13.989999999999995
81.00999999999999,30.00999999999999,-13.989999999999995
81.00999999999999,30.00999999999999,-13.989999999999995
81.00999999999999,30.00999999999999,-13.989999999999995
82.00999999999999,31.00999999999999,-12.989999999999995
82.00999999999999,31.00999999999999,-12.989999999999995
83.00999999999999,32.00999999999999,-11.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
85.00999999999999,34.00999999999999,-9.989999999999995
85.00999999999999,34.00999999999999,-9.989999999999995
85.00999999999999,34.00999999999999,-9.989999999999995
86.00999999999999,35.00999999999999,-8.989999999999995
85.00999999999999,34.00999999999999,-9.989999999999995
85.00999999999999,34.00999999999999,-9.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
83.00999999999999,32.00999999999999,-11.989999999999995
83.00999999999999,32.00999999999999,-11.989999999999995
83.00999999999999,32.00999999999999,-11.989999999999995
82.00999999999999,31.00999999999999,-12.989999999999995
83.00999999999999,32.00999999999999,-11.989999999999995
83.00999999999999,32.00999999999999,-11.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
85.00999999999999,34.00999999999999,-9.989999999999995
84.00999999999999,33.00999999999999,-10.989999999999995
83.00999999999999,32.00999999999999,-11.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
80.00999999999999,32.00999999999999,-13.989999999999995
80.00999999999999,32.00999999999999,-13.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
81.00999999999999,33.00999999999999,-12.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
82.00999999999999,34.00999999999999,-11.989999999999995
